corridor_id,train_no,train_name,train_type,direction,station_code,km,arr,dep
C2,11011,Deccan Exp,Express,down,CSMT,0,05:19,05:19
C2,11011,Deccan Exp,Express,down,TNA,34,05:50,05:52
C2,11011,Deccan Exp,Express,down,KYN,54,06:09,06:11
C2,11011,Deccan Exp,Express,down,KJT,100,06:50,06:52
C2,11011,Deccan Exp,Express,down,LNL,128,07:19,07:21
C2,11015,Pragati Exp,Express,down,CSMT,0,07:10,07:10
C2,11015,Pragati Exp,Express,down,TNA,34,07:38,07:40
C2,11015,Pragati Exp,Express,down,KYN,54,07:58,08:00
C2,11015,Pragati Exp,Express,down,KJT,100,08:41,08:43
C2,11015,Pragati Exp,Express,down,LNL,128,09:10,09:12
C2,11021,Indrayani Exp,Express,down,CSMT,0,09:15,09:15
C2,11021,Indrayani Exp,Express,down,TNA,34,09:46,09:48
C2,11021,Indrayani Exp,Express,down,KYN,54,10:06,10:08
C2,11021,Indrayani Exp,Express,down,KJT,100,10:52,10:54
C2,11021,Indrayani Exp,Express,down,LNL,128,11:18,11:20
C2,11031,Sinhagad Exp,Express,down,CSMT,0,11:34,11:34
C2,11031,Sinhagad Exp,Express,down,TNA,34,12:07,12:09
C2,11031,Sinhagad Exp,Express,down,KYN,54,12:27,12:29
C2,11031,Sinhagad Exp,Express,down,KJT,100,13:13,13:15
C2,11031,Sinhagad Exp,Express,down,LNL,128,13:42,13:44
C2,11037,Sahyadri Exp,Express,down,CSMT,0,16:56,16:56
C2,11037,Sahyadri Exp,Express,down,TNA,34,17:26,17:28
C2,11037,Sahyadri Exp,Express,down,KYN,54,17:46,17:48
C2,11037,Sahyadri Exp,Express,down,KJT,100,18:28,18:30
C2,11037,Sahyadri Exp,Express,down,LNL,128,18:54,18:56
C2,11044,Koyna Exp,Express,down,CSMT,0,19:09,19:09
C2,11044,Koyna Exp,Express,down,TNA,34,19:42,19:44
C2,11044,Koyna Exp,Express,down,KYN,54,20:02,20:04
C2,11044,Koyna Exp,Express,down,KJT,100,20:45,20:47
C2,11044,Koyna Exp,Express,down,LNL,128,21:10,21:12
C2,11049,Sinhagad Exp,Express,up,LNL,128,05:50,05:50
C2,11049,Sinhagad Exp,Express,up,KJT,100,06:16,06:18
C2,11049,Sinhagad Exp,Express,up,KYN,54,07:00,07:02
C2,11049,Sinhagad Exp,Express,up,TNA,34,07:20,07:22
C2,11049,Sinhagad Exp,Express,up,CSMT,0,07:51,07:53
C2,11058,Sahyadri Exp,Express,up,LNL,128,07:55,07:55
C2,11058,Sahyadri Exp,Express,up,KJT,100,08:21,08:23
C2,11058,Sahyadri Exp,Express,up,KYN,54,09:03,09:05
C2,11058,Sahyadri Exp,Express,up,TNA,34,09:23,09:25
C2,11058,Sahyadri Exp,Express,up,CSMT,0,09:55,09:57
C2,11067,Koyna Exp,Express,up,LNL,128,10:13,10:13
C2,11067,Koyna Exp,Express,up,KJT,100,10:38,10:40
C2,11067,Koyna Exp,Express,up,KYN,54,11:24,11:26
C2,11067,Koyna Exp,Express,up,TNA,34,11:44,11:46
C2,11067,Koyna Exp,Express,up,CSMT,0,12:18,12:20
C2,11070,Deccan Exp,Express,up,LNL,128,13:16,13:16
C2,11070,Deccan Exp,Express,up,KJT,100,13:41,13:43
C2,11070,Deccan Exp,Express,up,KYN,54,14:25,14:27
C2,11070,Deccan Exp,Express,up,TNA,34,14:45,14:47
C2,11070,Deccan Exp,Express,up,CSMT,0,15:19,15:21
C2,11077,Pragati Exp,Express,up,LNL,128,17:48,17:48
C2,11077,Pragati Exp,Express,up,KJT,100,18:12,18:14
C2,11077,Pragati Exp,Express,up,KYN,54,18:56,18:58
C2,11077,Pragati Exp,Express,up,TNA,34,19:16,19:18
C2,11077,Pragati Exp,Express,up,CSMT,0,19:48,19:50
C2,11085,Indrayani Exp,Express,up,LNL,128,19:44,19:44
C2,11085,Indrayani Exp,Express,up,KJT,100,20:08,20:10
C2,11085,Indrayani Exp,Express,up,KYN,54,20:51,20:53
C2,11085,Indrayani Exp,Express,up,TNA,34,21:12,21:14
