block_id,corridor_id,date,from_station,to_station,start,end,block_type
B-101,C2,2026-09-01,TNA,KYN,00:05,04:05,power
B-102,C2,2026-09-01,KYN,KJT,00:08,04:08,traffic
B-103,C2,2026-09-01,KJT,LNL,00:06,04:06,power
B-104,C2,2026-09-01,CSMT,TNA,09:35,11:05,traffic
B-105,C1,2026-09-01,KYN,ASO,00:08,01:29,traffic
B-106,C1,2026-09-01,KYN,ASO,02:41,05:22,traffic
B-107,C1,2026-09-01,ASO,KSRA,00:06,02:24,power
B-108,C1,2026-09-01,ASO,KSRA,07:52,09:37,power
B-109,C1,2026-09-01,ASO,KSRA,16:52,18:03,power
B-110,C1,2026-09-01,KYN,ASO,09:35,11:05,traffic
B-111,C2,2026-09-02,TNA,KYN,00:08,04:08,traffic
B-112,C2,2026-09-02,KYN,KJT,00:07,04:07,power
B-113,C2,2026-09-02,KJT,LNL,00:12,04:12,traffic
B-114,C2,2026-09-02,CSMT,TNA,09:35,11:05,traffic
B-115,C1,2026-09-02,KYN,ASO,00:06,01:29,power
B-116,C1,2026-09-02,KYN,ASO,02:41,05:22,power
B-117,C1,2026-09-02,KYN,ASO,16:04,17:21,power
B-118,C1,2026-09-02,KYN,ASO,18:18,19:25,power
B-119,C1,2026-09-02,ASO,KSRA,00:10,02:24,traffic
B-120,C1,2026-09-02,ASO,KSRA,03:43,06:04,traffic
B-121,C1,2026-09-02,ASO,KSRA,07:47,09:37,traffic
B-122,C1,2026-09-02,ASO,KSRA,16:49,18:03,traffic
B-123,C1,2026-09-02,KYN,ASO,09:35,11:05,traffic
B-124,C2,2026-09-03,CSMT,TNA,00:07,04:07,traffic
B-125,C2,2026-09-03,KJT,LNL,00:05,04:05,power
B-126,C2,2026-09-03,CSMT,TNA,09:35,11:05,traffic
B-127,C1,2026-09-03,KYN,ASO,00:09,01:29,traffic
B-128,C1,2026-09-03,KYN,ASO,02:34,05:22,traffic
B-129,C1,2026-09-03,ASO,KSRA,00:06,02:24,power
B-130,C1,2026-09-03,ASO,KSRA,03:40,06:04,power
B-131,C1,2026-09-03,ASO,KSRA,07:52,09:37,power
B-132,C1,2026-09-03,ASO,KSRA,16:49,18:03,power
B-133,C1,2026-09-03,KYN,ASO,09:35,11:05,traffic
B-134,C2,2026-09-04,CSMT,TNA,00:05,04:05,power
B-135,C2,2026-09-04,TNA,KYN,00:07,04:07,traffic
B-136,C2,2026-09-04,KYN,KJT,00:07,04:07,power
B-137,C2,2026-09-04,CSMT,TNA,09:35,11:05,traffic
B-138,C1,2026-09-04,KYN,ASO,02:38,05:22,power
B-139,C1,2026-09-04,KYN,ASO,18:16,19:25,power
B-140,C1,2026-09-04,ASO,KSRA,03:40,06:04,traffic
B-141,C1,2026-09-04,ASO,KSRA,07:54,09:37,traffic
B-142,C1,2026-09-04,ASO,KSRA,16:45,18:03,traffic
B-143,C1,2026-09-04,KYN,ASO,09:35,11:05,traffic
B-144,C2,2026-09-05,CSMT,TNA,00:06,04:06,traffic
B-145,C2,2026-09-05,TNA,KYN,00:11,04:11,power
B-146,C2,2026-09-05,KYN,KJT,00:12,04:12,traffic
B-147,C2,2026-09-05,KJT,LNL,00:05,04:05,power
B-148,C2,2026-09-05,CSMT,TNA,09:35,11:05,traffic
B-149,C1,2026-09-05,KYN,ASO,00:10,01:29,traffic
B-150,C1,2026-09-05,KYN,ASO,02:37,05:22,traffic
B-151,C1,2026-09-05,KYN,ASO,09:52,10:55,traffic
B-152,C1,2026-09-05,KYN,ASO,16:04,17:21,traffic
B-153,C1,2026-09-05,KYN,ASO,18:16,19:25,traffic
B-154,C1,2026-09-05,ASO,KSRA,03:43,06:04,power
B-155,C1,2026-09-05,ASO,KSRA,07:50,09:37,power
B-156,C1,2026-09-05,ASO,KSRA,16:47,18:03,power
B-157,C1,2026-09-05,KYN,ASO,09:35,11:05,traffic
B-158,C2,2026-09-06,CSMT,TNA,00:09,04:09,power
B-159,C2,2026-09-06,KJT,LNL,00:08,04:08,traffic
B-160,C2,2026-09-06,CSMT,TNA,09:35,11:05,traffic
B-161,C1,2026-09-06,KYN,ASO,00:07,01:29,power
B-162,C1,2026-09-06,KYN,ASO,02:34,05:22,power
B-163,C1,2026-09-06,KYN,ASO,09:50,10:55,power
B-164,C1,2026-09-06,KYN,ASO,15:59,17:21,power
B-165,C1,2026-09-06,KYN,ASO,18:14,19:25,power
B-166,C1,2026-09-06,ASO,KSRA,00:07,02:24,traffic
B-167,C1,2026-09-06,ASO,KSRA,03:42,06:04,traffic
B-168,C1,2026-09-06,ASO,KSRA,07:50,09:37,traffic
B-169,C1,2026-09-06,ASO,KSRA,16:45,18:03,traffic
B-170,C1,2026-09-06,KYN,ASO,09:35,11:05,traffic
B-171,C2,2026-09-07,TNA,KYN,00:12,04:12,power
B-172,C2,2026-09-07,KYN,KJT,00:10,04:10,traffic
B-173,C2,2026-09-07,CSMT,TNA,09:35,11:05,traffic
